ads_save_way,ads_shape
이미지 40개 클리어,퀘스트/ 스테이지 클리어
레벨 50 달성,퀘스트/ 스테이지 클리어
레벨20 도달,퀘스트/ 스테이지 클리어
블루스타 50 달성,퀘스트/ 스테이지 클리어
스타 100 달성,퀘스트/ 스테이지 클리어
지휘센터 레벨 12 클리어,퀘스트/ 스테이지 클리어
Sandy's 가게 오픈,퀘스트/ 스테이지 클리어
stage30 오픈,퀘스트/ 스테이지 클리어
"최고점수 20,000점 달성",퀘스트/ 스테이지 클리어
Fine Guys 가게 오픈,퀘스트/ 스테이지 클리어
레벨100 도달,퀘스트/ 스테이지 클리어
스테이지100 클리어,퀘스트/ 스테이지 클리어
네 번째 방 장식 완료,퀘스트/ 스테이지 클리어
레벨10 도달,퀘스트/ 스테이지 클리어
Level 15 도달,퀘스트/ 스테이지 클리어
Level16 도달,퀘스트/ 스테이지 클리어
레벨 300클리어,퀘스트/ 스테이지 클리어
레벨500 클리어,퀘스트/ 스테이지 클리어
스노우헬스장 식당건설,퀘스트/ 스테이지 클리어
티어 14의 350번째 웨이브 달성,퀘스트/ 스테이지 클리어
그래피티를 지우기 퀘스트 완료,퀘스트/ 스테이지 클리어
세 번째 지도의 첫 번째 교실 도달,퀘스트/ 스테이지 클리어
유저 레벨 5달성,퀘스트/ 스테이지 클리어
자동센서 프랑스로 업그레이드,퀘스트/ 스테이지 클리어
"15,000 수익 획득",퀘스트/ 스테이지 클리어
퀘스트 8 클리어,퀘스트/ 스테이지 클리어
레벨 15클리어,퀘스트/ 스테이지 클리어
레벨 10 클리어,퀘스트/ 스테이지 클리어
얼음의 섬-배 Level 2 도달,퀘스트/ 스테이지 클리어
모험랭크15 달성,퀘스트/ 스테이지 클리어
레벨 2000 클리어,퀘스트/ 스테이지 클리어
깊이1500M도달,퀘스트/ 스테이지 클리어
레벨 2000 달성,퀘스트/ 스테이지 클리어
"코인30,000개 모으기",퀘스트/ 스테이지 클리어
챕터 8 클리어,퀘스트/ 스테이지 클리어
Mine14 도달,퀘스트/ 스테이지 클리어
레벨 600 달성,퀘스트/ 스테이지 클리어
레벨 20 달성하기,퀘스트/ 스테이지 클리어
레벨 20 완료하기,퀘스트/ 스테이지 클리어
레벨500 도달,퀘스트/ 스테이지 클리어
영웅 10명 수집,퀘스트/ 스테이지 클리어
공용 화장실 해제,퀘스트/ 스테이지 클리어
지도3 잠금 해제,퀘스트/ 스테이지 클리어
Journey모드로 레벨50 완료,퀘스트/ 스테이지 클리어
레벨 15 클리어,퀘스트/ 스테이지 클리어
캠프사이트 달성 완료,퀘스트/ 스테이지 클리어
레벨 12 도달,퀘스트/ 스테이지 클리어
레벨 15 달성,퀘스트/ 스테이지 클리어
레벨100 클리어,퀘스트/ 스테이지 클리어
레벨 40 도달,퀘스트/ 스테이지 클리어
쉬움'레벨 500개 클리어,퀘스트/ 스테이지 클리어
레벨 27 달성,퀘스트/ 스테이지 클리어
1000 단계 완료,퀘스트/ 스테이지 클리어
스타 50개 수집,퀘스트/ 스테이지 클리어
레벨 300 완료,퀘스트/ 스테이지 클리어
바우처 획득하기,퀘스트/ 스테이지 클리어
뉴욕의 박물관 해제,퀘스트/ 스테이지 클리어
왕국 35 건설 완료,퀘스트/ 스테이지 클리어
LP 앨범 만들기 완성,퀘스트/ 스테이지 클리어
레벨 500 클리어,퀘스트/ 스테이지 클리어
Journey 모드로 레벨 51 도달,퀘스트/ 스테이지 클리어
레벨 400 달성,퀘스트/ 스테이지 클리어
스텝 250 완료,퀘스트/ 스테이지 클리어
레스토랑5 도달,퀘스트/ 스테이지 클리어
지휘센터 Lv.17 도달,퀘스트/ 스테이지 클리어
최초 앱 설치 후 170 레벨 성공,퀘스트/ 스테이지 클리어
Level100 클리어,퀘스트/ 스테이지 클리어
Level70 클리어,퀘스트/ 스테이지 클리어
레벨 500 도달,퀘스트/ 스테이지 클리어
에리어6-6 클리어,퀘스트/ 스테이지 클리어
레벨301 도달,퀘스트/ 스테이지 클리어
레벨 60 완료,퀘스트/ 스테이지 클리어
레벨 700 달성,퀘스트/ 스테이지 클리어
환경 3 완료,퀘스트/ 스테이지 클리어
레벨 300 달성,퀘스트/ 스테이지 클리어
영주성 레벨 18 진입,퀘스트/ 스테이지 클리어
레벨 750 달성,퀘스트/ 스테이지 클리어
20 에리어 완료,퀘스트/ 스테이지 클리어
15 에리어 완료,퀘스트/ 스테이지 클리어
레벨 30 달성,퀘스트/ 스테이지 클리어
8000M 달성,퀘스트/ 스테이지 클리어
레벨 500 달성,퀘스트/ 스테이지 클리어
500레벨 달성,퀘스트/ 스테이지 클리어
왕국 30 건설 완료,퀘스트/ 스테이지 클리어
레벨 45 달성,퀘스트/ 스테이지 클리어
8200M 달성,퀘스트/ 스테이지 클리어
퀘스트 #150 완료,퀘스트/ 스테이지 클리어
레벨 1000 달성,퀘스트/ 스테이지 클리어
레벨 400 클리어  ,퀘스트/ 스테이지 클리어
다이아몬드 500개 획득,퀘스트/ 스테이지 클리어
레벨 1500 달성,퀘스트/ 스테이지 클리어
챕터 8 완료 ,퀘스트/ 스테이지 클리어
보드 31단계 클리어,퀘스트/ 스테이지 클리어
영웅 6성 업그레이드,퀘스트/ 스테이지 클리어
12000코인 획득,퀘스트/ 스테이지 클리어
노멀 섹션에서 51 맵 완료,퀘스트/ 스테이지 클리어
Rank 50 완료,퀘스트/ 스테이지 클리어
Rank 100 완료,퀘스트/ 스테이지 클리어
게임에 접속하여 슛 배우기를 완료하,퀘스트/ 스테이지 클리어
레벨 30 완료,퀘스트/ 스테이지 클리어
RANK 100 도달,퀘스트/ 스테이지 클리어
"1,500레벨 완료하기",퀘스트/ 스테이지 클리어
기함 레벨 18 달성,퀘스트/ 스테이지 클리어
퀘스트 60을 클리어,퀘스트/ 스테이지 클리어
레벨15 도달,퀘스트/ 스테이지 클리어
Car 9 해제 완료,퀘스트/ 스테이지 클리어
Car 8 열기,퀘스트/ 스테이지 클리어
프라임 리그 달성,퀘스트/ 스테이지 클리어
"1,200미터 달성하기",퀘스트/ 스테이지 클리어
"1,500레벨 완료 하기",퀘스트/ 스테이지 클리어
모든 서브퀘스트 완료,퀘스트/ 스테이지 클리어
클래식모드 1만점 달성하기,퀘스트/ 스테이지 클리어
40 스테이지 돌파,퀘스트/ 스테이지 클리어
레벨 180 달성,퀘스트/ 스테이지 클리어
레벨 900 완료,퀘스트/ 스테이지 클리어
레스토랑 5도달,퀘스트/ 스테이지 클리어
앱 내 레벨 7 달성,퀘스트/ 스테이지 클리어
튜토리얼을 완료,퀘스트/ 스테이지 클리어
레벨 7 클리어,퀘스트/ 스테이지 클리어
level300 클리어,퀘스트/ 스테이지 클리어
레벨300도달,퀘스트/ 스테이지 클리어
레벨50도달,퀘스트/ 스테이지 클리어
레벨17도달,퀘스트/ 스테이지 클리어
Level 400 도달,퀘스트/ 스테이지 클리어
레벨600 클리어,퀘스트/ 스테이지 클리어
에이스 세일즈맨 전원 고용,퀘스트/ 스테이지 클리어
Level101 도달,퀘스트/ 스테이지 클리어
수심 700미터에 도달,퀘스트/ 스테이지 클리어
3500코인획득,퀘스트/ 스테이지 클리어
목장레벨21(21회차),퀘스트/ 스테이지 클리어
노말모드에서 월드8 클리어,퀘스트/ 스테이지 클리어
세 번째 가게 '과자가게' 클리어,퀘스트/ 스테이지 클리어
별450개 획득,퀘스트/ 스테이지 클리어
3번째 가게 '과자가게' 클리어,퀘스트/ 스테이지 클리어
레벨24도달,퀘스트/ 스테이지 클리어
디저트공장 도달,퀘스트/ 스테이지 클리어
제3500 마신 클리어,퀘스트/ 스테이지 클리어
도시 레벨16도달,퀘스트/ 스테이지 클리어
레벨300 클리어,퀘스트/ 스테이지 클리어
15번 장소 도달,퀘스트/ 스테이지 클리어
19번 장소 도달,퀘스트/ 스테이지 클리어
광산14 도달,퀘스트/ 스테이지 클리어
레벨150 도달,퀘스트/ 스테이지 클리어
Sort Puzzle 레벨400 도달,퀘스트/ 스테이지 클리어
900미터 깊이에 도달,퀘스트/ 스테이지 클리어
시내 '슈퍼마켓' 도달,퀘스트/ 스테이지 클리어
800미터 깊이에 도달,퀘스트/ 스테이지 클리어
퍼즐301 잠금해제,퀘스트/ 스테이지 클리어
레벨130 도달,퀘스트/ 스테이지 클리어
헬리콥터 운항 구역 해제,퀘스트/ 스테이지 클리어
히든레벨100 클리어,퀘스트/ 스테이지 클리어
레벨301클리어,퀘스트/ 스테이지 클리어
레벨301 클리어,퀘스트/ 스테이지 클리어
쉬움 레벨  500개 클리어,퀘스트/ 스테이지 클리어
블루 스타 50개 모으기,퀘스트/ 스테이지 클리어
Level75 도달,퀘스트/ 스테이지 클리어
수심 1500M 도달,퀘스트/ 스테이지 클리어
히든레벨250 클리어,퀘스트/ 스테이지 클리어
700미터 깊이에 도달,퀘스트/ 스테이지 클리어
Lv.40 돌묵상어 해제하기,퀘스트/ 스테이지 클리어
level130도달,퀘스트/ 스테이지 클리어
레벨350 도달,퀘스트/ 스테이지 클리어
"난이도1, 최고웨이브 300도달",퀘스트/ 스테이지 클리어
900M에 도달,퀘스트/ 스테이지 클리어
본부레벨14 도달,퀘스트/ 스테이지 클리어
깊이 850M 도달,퀘스트/ 스테이지 클리어
"난이도1, 최고라운드 200 도달",퀘스트/ 스테이지 클리어
MAP3 해제,퀘스트/ 스테이지 클리어
코인10000개 모으기,퀘스트/ 스테이지 클리어
스코어1000도달,퀘스트/ 스테이지 클리어
나의 성채 레벨 Lv.15 클리어,퀘스트/ 스테이지 클리어
스테이지 1-10을 완료,퀘스트/ 스테이지 클리어
레벨31 도달,퀘스트/ 스테이지 클리어
스텝150 도달,퀘스트/ 스테이지 클리어
미션을 #50까지 완료,퀘스트/ 스테이지 클리어
레벨131 도달,퀘스트/ 스테이지 클리어
Bamboo Forest 클리어,퀘스트/ 스테이지 클리어
레벨 131-1 도달,퀘스트/ 스테이지 클리어
랜덤 모드 100스테이지 클리어,퀘스트/ 스테이지 클리어
레벨 55 클리어,퀘스트/ 스테이지 클리어
스텝75 도달,퀘스트/ 스테이지 클리어
스테이지 7 오픈,퀘스트/ 스테이지 클리어
레벨 5를 달성,퀘스트/ 스테이지 클리어
레벨 120 클리어,퀘스트/ 스테이지 클리어
월드3의 스테이지7 시작,퀘스트/ 스테이지 클리어
퀘스트 1200 클리어,퀘스트/ 스테이지 클리어
캔디컴바인으로 이동,퀘스트/ 스테이지 클리어
레벨 5 달성 완료 ,퀘스트/ 스테이지 클리어
오렌지 영웅 1명 모으기,퀘스트/ 스테이지 클리어
레벨 45을 완료하세요 ,퀘스트/ 스테이지 클리어
레벨 50 완료,퀘스트/ 스테이지 클리어
보드 55단계 클리어,퀘스트/ 스테이지 클리어
시청 16레벨 달성,퀘스트/ 스테이지 클리어
15K 코인 획득,퀘스트/ 스테이지 클리어
팀 레벨50 도달,퀘스트/ 스테이지 클리어
오리스 호텔(4-30) 스테이지를 완료,퀘스트/ 스테이지 클리어
Level1000 클리어,퀘스트/ 스테이지 클리어
챕터 100 완료,퀘스트/ 스테이지 클리어
챌린지 12 완료,퀘스트/ 스테이지 클리어
영주성 레벨 23 진입,퀘스트/ 스테이지 클리어
Challenge 7 클리어,퀘스트/ 스테이지 클리어
요새 레벨 13을 달성,퀘스트/ 스테이지 클리어
레벨201 도달,퀘스트/ 스테이지 클리어
50 에리어 완료,퀘스트/ 스테이지 클리어
레벨 45를 완료,퀘스트/ 스테이지 클리어
캐슬 Lv.14 도달,퀘스트/ 스테이지 클리어
3개의 게임앱에서 각 게임의 보너스 도전 과제 3개를 모두 달성,퀘스트/ 스테이지 클리어
Complete Location 50,퀘스트/ 스테이지 클리어
Complete Level 50,퀘스트/ 스테이지 클리어
그림 250개 색칠,퀘스트/ 스테이지 클리어
레벨400 도달,퀘스트/ 스테이지 클리어
유저레벨5 도달,퀘스트/ 스테이지 클리어
아레나 13 잠금 해제,퀘스트/ 스테이지 클리어
뱅크7 진입,퀘스트/ 스테이지 클리어
외계 시대 2 완료 - 타임라인 21,퀘스트/ 스테이지 클리어
레벨 13 오렌지 타워 1개 수집,퀘스트/ 스테이지 클리어
Chapter 5 달성,퀘스트/ 스테이지 클리어
7일 내 레벨 50 달성,퀘스트/ 스테이지 클리어
레벨 300 도달,퀘스트/ 스테이지 클리어
프로필 레벨3 달성,퀘스트/ 스테이지 클리어
Lv.91 도달,퀘스트/ 스테이지 클리어
길잡이 미션 1달성(해골지팡이 제작),퀘스트/ 스테이지 클리어
Lv.201 도달,퀘스트/ 스테이지 클리어
Journey모드로 레벨51 도달,퀘스트/ 스테이지 클리어
"25일 내 스테이지 3,500 층 도달",퀘스트/ 스테이지 클리어
25일 내 레벨 120 달성,퀘스트/ 스테이지 클리어
25일 내 레벨 95 달성,퀘스트/ 스테이지 클리어
레벨 67 달성,퀘스트/ 스테이지 클리어
level 301 도달,퀘스트/ 스테이지 클리어
달성,퀘스트/ 스테이지 클리어
여행 모드에서 레벨126 도달,퀘스트/ 스테이지 클리어
Chapter 4 달성,퀘스트/ 스테이지 클리어
Lv.8 도달,퀘스트/ 스테이지 클리어
레벨 1000 완료,퀘스트/ 스테이지 클리어
깊이850M도달,퀘스트/ 스테이지 클리어
레벨79 달성,퀘스트/ 스테이지 클리어
레벨23 도달,퀘스트/ 스테이지 클리어
쉬운 레벨 200 도달,퀘스트/ 스테이지 클리어
"3,600층 도달",퀘스트/ 스테이지 클리어
105레벨 달성,퀘스트/ 스테이지 클리어
스크린샷 제출,퀘스트/ 스테이지 클리어
"Chapter3,wave1도달",퀘스트/ 스테이지 클리어
쉬움'레벨  500개 클리어,퀘스트/ 스테이지 클리어
"난이도1,최고웨이브 300도달",퀘스트/ 스테이지 클리어
"3개의 게임앱에서,  각 게임의 보너스 도전 과제 3개를 모두 달성",퀘스트/ 스테이지 클리어
영주성 레벨 23 진입 및 인앱 결제 3회 완료,퀘스트/ 스테이지 클리어 및 결제
영주성 레벨 23에 진입하고 인앱 결제 3회를 완료,퀘스트/ 스테이지 클리어 및 결제
아레나 5 정복 및 인앱 결제,퀘스트/ 스테이지 클리어 및 결제
프로필 레벨 5 달성 및 설치한 앱 최소 한개에서 결제,퀘스트/ 스테이지 클리어 및 결제
카카오톡 채널 추가 후 퀴즈 맞추기,퀴즈
네이버 상품 해시태그,퀴즈
네이버 상품 상세내용,퀴즈
네이버 플레이스 저장하기(이미지업로드+퀴즈),퀴즈
미션 참여하기,퀴즈
퀴즈 맞추기,퀴즈
쇼핑 퀴즈 맞추기,퀴즈
퀴즈 맞추기 완료,퀴즈
퀴즈 정답 맞추기,퀴즈
미션 정답 입력하기,퀴즈
정답입력,퀴즈
미션 정답 제출하기,퀴즈
오늘의집 퀴즈 맞추기,퀴즈
퀴즈 미션 참여하기,퀴즈
일반정답미션,퀴즈
네이버 쇼핑 상품번호 입력하기,퀴즈
상품번호 6자리 맞추기,퀴즈
상품번호 앞 6자리 맞추기,퀴즈
상품번호 뒤 6자리 맞추기,퀴즈
상품 태그 맞추기,퀴즈
오늘의 집 판매자 연락처를 맞추는 퀴즈,퀴즈
네이버스마트스토어 퀴즈,퀴즈
오늘의집 퀴즈,퀴즈
플레이스 퀴즈 맞추기,퀴즈
플레이스 접속 후 퀴즈 맞추기,퀴즈
플레이스(저장_퀴즈형)_N 완료,퀴즈
네이버 블로그 검색 후 저장하기,퀴즈
카카오맵 주소를 맞추는 퀴즈,퀴즈
네이버플레이스 퀴즈,퀴즈
케이뱅크가 설날맞이 현금 뿌려요,퀴즈
케이뱅크 봄소풍 보물찾기,퀴즈
겨울맞이 간식 나눠요,퀴즈
네이버 상품 그 외,퀴즈
카페 회원가입 완료 후 저장 -> 제출,회원가입
회원가입 후 마음에 드는 여성 좋아요 클릭,회원가입
최초 오픈 후 성인 컨텐츠에서 인증,회원가입
서비스 신청,회원가입
회원가입,회원가입
최초 회원가입,회원가입
추천인 코드 woodfire 입력 후 회원가입,회원가입
신규가입 후 이성관상 참여,회원가입
가입,회원가입
회원가입 후 심사완료,회원가입
회원가입 후 판매차량 등록,회원가입
계정 생성 후 심사요청 진행,회원가입
무료체험 가입,회원가입
서비스 가입,회원가입
최초 회원가입 완료,회원가입
회원가입+본인인증,회원가입
최초 패널 가입,회원가입
이벤트 가입 완료,회원가입
회원가입 후 번호인증,회원가입
최초 회원가입 후 로그인,회원가입
회원 가입 시,회원가입
회원 가입,회원가입
신규회원 가입 완료,회원가입
회원가입 후 프로필 등록,회원가입
카카오 간편가입,회원가입
서비스 가입 완료,회원가입
회원가입 및 로그인 후 우측 상단 사람 아이콘 클릭 스크린샷 제출,회원가입
익시오앱 무료 가입,회원가입
회원가입 후 프로필 완성,회원가입
"회원가입 후, 메인 화면 접속",회원가입
카카오 간편 회원가입 후 카톡 친구 추가 메시지 캡쳐 후 제출,회원가입
회원가입 후 계정이 보이는 스크린샷 제출,회원가입
회원가입 후 프로필 제출 완료,회원가입
신규 가입 승인 완료 후 추가 정보 기입,회원가입
"회원가입 후 마음에 드는 여성, 좋아요 클릭",회원가입
